buoy_id,buoy_lon,buoy_lat,whacs_lon,whacs_lat,whacs_index,distance_km
44088,-74.839,36.612,-74.8125,36.625,1911575,2.772173764207058
44100,-75.593,36.258,-75.5625,36.25,1904416,2.8760155475830294
44086,-75.421,36.001,-75.4375,36.0,1904375,1.4884230494824884
44056,-75.714,36.2,-75.6875,36.1875,1904402,2.754587009644651
44095,-75.33,35.75,-75.3125,35.75,1904332,1.5792223034392572
41120,-75.285,35.258,-75.3125,35.25,1904199,2.6508573646715416
41025,-75.454,35.01,-75.4375,35.0,1904108,1.869504236381854
41159,-76.944,34.211,-76.9375,34.1875,1903786,2.680518280639886
41110,-77.715,34.142,-77.6875,34.125,1903743,3.158936554526083
41013,-77.764,33.441,-77.75,33.4375,1903381,1.3564278816941557
41108,-78.016,33.721,-78.0,33.75,1903570,3.5477982260140517
