storm_id,lat_start,lon_start,lat_mid,lon_mid,lat_end,lon_end,vmax,lon_min,lat_min,wind_log,Track_Type
0,16.2,299.7,29.9,292.8,40.6,326.6,51.440002,290.9,24.5,7.1721687,19
1,14.8,306.0,28.4,287.5,40.5,331.8,46.296,285.5,23.7,6.8041167,19
2,14.0,311.0,32.7,300.2,36.7,327.2,59.156002,297.2,27.0,7.6912937,14
3,13.5,327.5,22.7,303.0,45.0,356.0,54.012,302.7,23.4,7.3492856,8
4,25.0,312.5,31.1,316.9,41.5,330.5,23.148,312.5,25.0,4.811237,18
5,16.9,278.8,19.8,279.3,26.8,295.5,38.58,278.6,17.4,6.2112803,6
6,31.0,286.0,35.5,288.4,42.9,294.2,30.864,286.0,31.0,5.5555377,15
7,21.7,272.9,24.9,275.2,25.5,277.4,38.58,272.9,21.7,6.2112803,6
8,25.8,273.6,34.6,283.0,45.4,304.0,30.864,273.6,25.8,5.5555377,17
9,13.7,337.8,19.2,316.8,20.0,296.4,30.864,296.4,20.0,5.5555377,11
10,26.2,269.0,28.1,265.9,34.8,268.2,28.292,265.8,27.1,5.3190227,17
11,19.8,290.5,36.7,294.4,51.5,341.0,59.156002,288.1,22.9,7.6912937,14
12,24.8,294.6,27.9,292.9,32.0,302.0,30.864,292.2,26.5,5.5555377,12
13,27.3,269.5,29.4,264.7,41.2,263.0,51.440002,260.6,36.5,7.1721687,0
14,26.0,284.0,25.4,273.0,25.5,259.5,36.008,259.5,25.5,6.0006666,6
15,30.2,295.6,34.6,304.8,41.7,311.2,33.436,295.6,30.2,5.7823873,15
16,28.0,287.0,34.0,289.3,37.9,283.1,28.292,283.1,37.9,5.3190227,15
17,33.0,295.0,40.4,305.9,48.5,322.0,25.720001,295.0,33.0,5.071489,15
18,10.5,309.0,17.2,299.8,25.0,291.5,23.148,291.5,25.0,4.811237,9
19,13.1,319.0,19.6,308.3,32.0,318.0,18.004,306.9,20.8,4.243112,3
20,36.6,293.1,42.3,302.1,46.2,311.1,25.720001,293.1,36.6,5.071489,15
21,28.5,282.6,34.0,282.8,46.0,302.2,59.156002,279.6,29.7,7.6912937,0
22,20.3,263.9,20.5,264.0,20.0,264.3,28.292,263.8,20.4,5.3190227,5
23,13.7,338.7,19.5,332.0,20.0,317.0,28.292,317.0,20.0,5.3190227,3
24,28.6,294.5,32.1,295.3,34.6,297.4,23.148,294.5,28.6,4.811237,1
25,31.3,301.7,32.8,300.2,43.2,325.0,33.436,295.0,31.4,5.7823873,15
26,23.4,287.0,29.5,277.9,36.8,297.9,25.720001,277.7,28.5,5.071489,17
27,24.1,291.1,36.8,288.2,43.3,320.5,46.296,287.4,27.7,6.8041167,0
28,14.7,291.2,22.7,301.3,42.0,313.0,41.152,291.2,14.7,6.4149823,4
29,34.5,299.5,33.1,306.3,19.2,290.6,36.008,290.6,19.2,6.0006666,4
30,29.4,295.8,35.0,292.7,48.0,305.5,30.864,292.7,33.8,5.5555377,15
31,26.0,275.0,26.3,278.3,38.3,280.5,33.436,275.0,26.0,5.7823873,17
32,31.5,279.5,35.4,299.5,44.5,337.5,38.58,279.5,31.5,6.2112803,4
33,18.5,279.3,32.5,268.3,40.4,290.6,41.152,267.3,29.3,6.4149823,6
34,19.8,286.0,28.8,276.2,38.8,268.6,56.584,266.0,34.5,7.5222335,10
35,23.6,289.2,28.5,299.5,32.1,317.5,28.292,289.2,23.6,5.3190227,12
36,13.3,336.4,22.2,292.6,56.6,331.0,64.3,283.8,31.4,8.018728,14
37,29.6,285.7,35.7,285.8,41.3,288.2,25.720001,285.4,32.0,5.071489,1
38,17.8,290.8,31.3,278.2,35.8,287.3,30.864,278.2,31.0,5.5555377,12
39,24.5,269.5,29.5,268.6,36.8,272.9,38.58,267.0,29.3,6.2112803,6
40,21.1,296.2,23.5,277.2,33.5,289.5,54.012,273.4,27.1,7.3492856,10
41,26.2,284.2,31.6,282.1,39.6,291.1,23.148,282.0,30.7,4.811237,1
42,25.6,272.8,29.0,266.3,37.2,270.0,38.58,265.3,30.9,6.2112803,6
43,30.1,276.0,41.3,308.8,56.2,368.0,36.008,276.0,30.1,6.0006666,4
